title,console,genre,publisher,metacritic_review_count,metacritic_review_score,user_review_count,user_review_score,total_sales,release_year,publisher_rank,platform_release_count,total_sales_per_title
Fortnite,PS4,Action,Gearbox Software,18,7.8,2491,4.8,890000,2017,105,3,1680000
Assassin's Creed III,PC,Action-Adventure,Ubisoft,61,8.4,1940,7.0,890000,2012,4,4,13060000
Star Wars: The Force Unleashed,DS,Action,LucasArts,74,7.3,396,7.1,880000,2008,12,6,10070000
NBA 2K6,PS2,Action,2K Sports,33,8.1,18,6.9,880000,2005,17,3,1470000
LEGO Harry Potter Collection,PS4,Action,Warner Bros. Interactive Entertainment,17,7.3,135,7.4,880000,2016,14,3,1430000
Ghostbusters: The Video Game,Wii,Action,Atari,74,7.8,109,7.8,870000,2009,16,6,3340000
For Honor,XOne,Action,Ubisoft,62,7.8,1260,6.0,870000,2017,4,3,2660000
LEGO Dimensions,X360,Action,Warner Bros. Interactive Entertainment,53,8.0,109,7.2,870000,2015,14,5,4230000
Grand Theft Auto IV,PC,Action,Rockstar Games,86,9.8,4462,8.3,870000,2008,7,3,22530000
Warriors Orochi,PS2,Action,KOEI,27,5.3,19,8.0,870000,2007,42,4,1270000
Sleeping Dogs,X360,Action-Adventure,Square Enix,47,8.0,704,8.0,870000,2012,18,2,1910000
Paper Mario: Color Splash,WiiU,Action-Adventure,Nintendo,77,7.6,514,7.0,870000,2016,10,1,870000
Dishonored 2,XOne,Action,Bethesda Softworks,67,8.8,1828,8.0,860000,2016,13,3,3090000
Dynasty Warriors 4: Xtreme Legends,PS2,Action,KOEI,15,7.2,13,5.3,860000,2003,42,1,860000
LEGO Batman 2: DC Super Heroes,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,59,7.9,296,7.7,860000,2012,14,8,6410000
LEGO Jurassic World,3DS,Action,Warner Bros. Interactive Entertainment,46,7.0,201,7.2,850000,2015,14,7,5680000
Darksiders II,PS3,Action-Adventure,THQ,63,8.3,618,8.2,850000,2012,5,3,1800000
Tomb Raider: Anniversary,Wii,Action,Eidos Interactive,33,7.7,95,8.0,850000,2007,21,5,2340000
Thief,PS4,Action,Square Enix,48,6.7,862,6.1,850000,2014,18,4,1980000
Ninja Gaiden Sigma 2,PS3,Action,Tecmo Koei,52,8.3,170,7.8,850000,2009,40,1,850000
Metroid: Zero Mission,GBA,Adventure,Nintendo,50,8.9,428,8.9,840000,2004,10,1,840000
Ghostbusters: The Video Game,PS3,Action,Atari,74,7.8,109,7.8,840000,2009,16,6,3340000
ZombiU,WiiU,Action,Ubisoft,70,7.7,800,7.7,840000,2012,4,1,840000
Harry Potter and the Order of the Phoenix,DS,Adventure,Electronic Arts,38,6.8,41,5.3,840000,2007,2,7,2520000
Spider-Man 2,GC,Action,Activision,60,8.3,95,7.8,840000,2004,1,5,6570000
Metal Gear Solid V: The Phantom Pain,XOne,Action,Konami Digital Entertainment,88,9.3,6528,8.1,830000,2015,33,3,4030000
Twisted Metal (2012),PS3,Action,Sony Computer Entertainment,69,7.6,318,7.7,830000,2012,6,1,830000
MediEvil: Resurrection,PSP,Adventure,Sony Computer Entertainment,43,6.6,103,8.3,820000,2005,6,1,820000
The Walking Dead: A Telltale Games Series,PS3,Adventure,Telltale Games,14,8.9,4022,8.8,820000,2012,83,4,2210000
LEGO Dimensions,PS3,Action,Warner Bros. Interactive Entertainment,53,8.0,109,7.2,810000,2015,14,5,4230000
The Legend of Zelda: Four Swords Adventures,GC,Adventure,Nintendo,55,8.6,111,7.3,810000,2004,10,1,810000
Star Wars The Clone Wars: Republic Heroes,Wii,Action,LucasArts,37,4.3,34,6.0,800000,2009,12,7,2720000
Prince of Persia: Warrior Within,XB,Adventure,Ubisoft,55,8.3,113,8.5,800000,2004,4,4,2640000
Darksiders II,X360,Action-Adventure,THQ,63,8.3,618,8.2,790000,2012,5,3,1800000
Prototype 2,X360,Action,Activision,69,7.4,276,7.1,790000,2012,1,3,1680000
The Godfather II,X360,Adventure,Electronic Arts,72,6.5,57,7.1,790000,2009,2,3,1530000
Shadow of the Tomb Raider,XOne,Action-Adventure,Square Enix,70,7.5,2012,7.3,780000,2018,18,2,2520000
MadWorld,Wii,Action,Sega,74,8.1,140,8.3,780000,2009,9,1,780000
Hitman,PS4,Action,Square Enix,41,8.4,585,7.8,780000,2017,18,2,1090000
Drawn to Life,DS,Adventure,THQ,34,7.3,39,7.5,780000,2007,5,1,780000
LEGO Jurassic World,XOne,Action,Warner Bros. Interactive Entertainment,46,7.0,201,7.2,780000,2015,14,7,5680000
Star Wars: The Force Unleashed II,Wii,Action,LucasArts,59,6.1,318,6.1,780000,2010,12,5,3980000
Tom Clancy's Splinter Cell: Double Agent,X360,Action,Ubisoft,59,8.5,146,7.7,780000,2006,4,5,1230000
Star Wars Episode II: Attack of the Clones,GBA,Action,THQ,14,3.8,13,3.7,770000,2002,5,1,770000
Prototype 2,PS3,Action,Activision,69,7.4,276,7.1,770000,2012,1,3,1680000
James Cameron's Avatar: The Game,X360,Action,Ubisoft,62,6.1,59,6.2,770000,2009,4,6,3440000
Fortnite,XOne,Action,Gearbox Software,18,7.8,2491,4.8,770000,2017,105,3,1680000
The Walking Dead: A Telltale Games Series,X360,Adventure,Telltale Games,14,8.9,4022,8.8,760000,2012,83,4,2210000
Resident Evil: Revelations,PS3,Action,Capcom,78,8.2,665,8.2,760000,2013,11,4,1850000
Harry Potter and the Half-Blood Prince,Wii,Action,Electronic Arts,38,6.4,36,4.5,760000,2009,2,7,3220000
Mercenaries: Playground of Destruction,PS2,Action,LucasArts,65,8.6,32,7.6,760000,2005,12,2,1440000
Assassin's Creed: Revelations,PC,Action,Ubisoft,77,8.0,1164,7.5,760000,2011,4,3,9210000
Quantum Break,XOne,Action,Microsoft Studios,112,7.7,2386,7.3,760000,2016,28,2,780000
True Crime: New York City,PS2,Action,Activision,47,6.0,65,7.2,760000,2005,1,4,1210000
The Lord of the Rings: Conquest,PS3,Action,Electronic Arts,58,5.5,75,6.7,750000,2009,2,4,1500000
Genji: Days of the Blade,PS3,Action,Sony Computer Entertainment,46,5.5,29,6.3,750000,2006,6,1,750000
Ace Combat: Assault Horizon,PS3,Action,Namco Bandai,71,7.8,98,6.1,740000,2011,27,2,1230000
The Lord of the Rings: The Two Towers,GBA,Action,Electronic Arts,32,8.2,133,7.9,740000,2002,2,4,6650000
The Godfather II,PS3,Adventure,Electronic Arts,72,6.5,57,7.1,740000,2009,2,3,1530000
Indiana Jones and the Staff of Kings,Wii,Action,LucasArts,32,5.5,23,7.3,720000,2009,12,4,1510000
Star Wars Episode III: Revenge of the Sith,GBA,Action,Ubisoft,44,6.1,48,7.8,720000,2005,4,4,5590000
Ultimate Spider-Man,PS2,Action,Activision,53,7.7,59,8.5,720000,2005,1,6,1940000
Monster Hunter Generations Ultimate,NS,Action,Capcom,53,8.0,208,8.5,720000,2018,11,1,720000
LEGO Dimensions,XOne,Action,Warner Bros. Interactive Entertainment,53,8.0,109,7.2,720000,2015,14,5,4230000
The LEGO Movie Videogame,3DS,Action-Adventure,Warner Bros. Interactive Entertainment,31,7.1,177,7.0,720000,2014,14,7,5350000
James Cameron's Avatar: The Game,Wii,Action,Ubisoft,62,6.1,59,6.2,720000,2009,4,6,3440000
Dynasty Warriors 6,PS3,Action,KOEI,42,6.0,28,6.9,710000,2008,42,3,1260000
The LEGO Movie Videogame,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,31,7.1,177,7.0,710000,2014,14,7,5350000
LEGO Batman 2: DC Super Heroes,DS,Action-Adventure,Warner Bros. Interactive Entertainment,59,7.9,296,7.7,710000,2012,14,8,6410000
LEGO Harry Potter: Years 1-4,PSP,Adventure,Warner Bros. Interactive,58,7.9,154,7.4,710000,2010,22,6,8460000
The Lord of the Rings: The Two Towers,XB,Action,Electronic Arts,32,8.2,133,7.9,710000,2002,2,4,6650000
F-14 Tomcat,GBA,Action,Majesco,8,6.7,4,7.5,700000,2001,26,1,700000
Mafia,PS2,Action,Gathering of Developers,33,6.6,234,8.4,700000,2004,143,3,970000
Spider-Man 2,PSP,Action,Activision,60,8.3,95,7.8,700000,2005,1,5,6570000
Star Wars: Obi-Wan,XB,Action,LucasArts,28,5.8,19,5.5,700000,2001,12,1,700000
Ace Attorney Investigations: Miles Edgeworth,DS,Adventure,Capcom,51,7.8,116,7.9,700000,2010,11,1,700000
Metal Gear Solid HD Collection,X360,Action,Konami Digital Entertainment,50,8.9,558,9.0,700000,2011,33,6,3180000
Mortal Kombat: Shaolin Monks,PS2,Action,Midway Games,41,7.7,238,8.8,690000,2005,20,2,1000000
Harry Potter and the Chamber of Secrets,GC,Adventure,Electronic Arts,16,7.1,128,7.7,690000,2002,2,6,7640000
Prince of Persia: The Forgotten Sands,PS3,Action,Ubisoft,69,7.4,138,7.4,690000,2010,4,6,2100000
Metal Gear Solid: Portable Ops Plus,PSP,Action,Konami,19,6.5,26,6.8,690000,2007,8,1,690000
The Lord of the Rings: The Return of the King,GC,Action,Electronic Arts,31,8.5,224,8.5,690000,2003,2,3,5110000
Prince of Persia: The Two Thrones,PS2,Adventure,Ubisoft,46,8.5,109,8.0,680000,2005,4,4,1410000
Mercenaries: Playground of Destruction,XB,Action,LucasArts,65,8.6,32,7.6,680000,2005,12,2,1440000
LEGO Harry Potter: Years 5-7,DS,Action,Warner Bros. Interactive,35,7.7,105,7.6,680000,2011,22,8,5020000
Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,63,8.8,473,7.2,670000,2018,57,1,670000
LEGO Marvel Super Heroes 2,NS,Action,Warner Bros. Interactive Entertainment,63,7.3,171,6.9,670000,2017,14,3,2350000
Disney Infinity,WiiU,Action-Adventure,Disney Interactive Studios,38,7.4,95,6.6,670000,2013,15,2,1020000
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,Adventure,Buena Vista,36,6.8,20,7.9,670000,2005,61,5,1760000
Lollipop Chainsaw,PS3,Action,Warner Bros. Interactive Entertainment,64,7.0,332,7.1,670000,2012,14,2,1150000
The LEGO Movie Videogame,WiiU,Action-Adventure,Warner Bros. Interactive Entertainment,31,7.1,177,7.0,660000,2014,14,7,5350000
Tomb Raider: Definitive Edition,XOne,Action-Adventure,Square Enix,54,8.5,2139,8.1,660000,2014,18,2,2170000
Fist of the North Star: Ken's Rage,PS3,Action,Tecmo Koei,38,5.9,29,7.3,660000,2010,40,2,820000
Castlevania: Lords of Shadow,X360,Action,Konami,70,8.3,329,7.9,660000,2010,8,2,1770000
Shrek: Hassle at the Castle,GBA,Action,TDK Mediactive,7,7.1,10,6.5,660000,2002,75,1,660000
One Piece: Pirate Warriors 2,PS3,Action,Namco Bandai Games,35,7.1,84,7.7,660000,2014,29,2,780000
LEGO Dimensions,WiiU,Action,Warner Bros. Interactive Entertainment,53,8.0,109,7.2,650000,2015,14,5,4230000
Transformers: The Game,PSP,Action,Activision,50,5.2,40,5.8,650000,2007,1,5,3340000
Harry Potter and the Goblet of Fire,PS2,Adventure,Electronic Arts,29,6.8,67,5.3,650000,2005,2,7,2340000
Drawn to Life: The Next Chapter,DS,Adventure,THQ,22,5.8,8,5.9,650000,2009,5,1,650000
The LEGO Movie Videogame,XOne,Action-Adventure,Warner Bros. Interactive Entertainment,31,7.1,177,7.0,650000,2014,14,7,5350000
Sengoku Basara: Samurai Heroes,PS3,Action,Capcom,37,6.1,44,8.0,640000,2010,11,2,930000
X2: Wolverine's Revenge,PS2,Action,Activision,27,5.8,6,5.0,640000,2003,1,3,970000
Harry Potter and the Half-Blood Prince,PS2,Action,Electronic Arts,38,6.4,36,4.5,640000,2009,2,7,3220000
Batman: Return to Arkham,PS4,Action,Warner Bros. Interactive Entertainment,28,7.3,479,8.3,640000,2016,14,2,840000
Onimusha: Dawn of Dreams,PS2,Action,Capcom,45,8.1,93,8.5,640000,2006,11,1,640000
Crash of the Titans,PSP,Action,Sierra Entertainment,25,6.5,102,7.0,640000,2007,56,5,2300000
Dead Island: Riptide,PS3,Action,Deep Silver,43,5.7,255,6.2,640000,2013,43,1,640000
The Lord of the Rings: Conquest,X360,Action,Electronic Arts,58,5.5,75,6.7,630000,2009,2,4,1500000
LEGO The Incredibles,NS,Action,Warner Bros. Interactive Entertainment,35,6.9,77,5.7,630000,2018,14,3,1480000
Assassin's Creed IV: Black Flag,PC,Action-Adventure,Ubisoft,36,8.8,2065,8.3,630000,2013,4,6,13710000
LEGO Pirates of the Caribbean: The Video Game,3DS,Action,Disney Interactive Studios,54,7.3,106,7.3,630000,2011,15,7,5510000
Condemned 2: Bloodshot,X360,Adventure,Sega,76,8.0,121,7.7,630000,2008,9,1,630000
Warriors Orochi 3,PS3,Action,Tecmo Koei,18,6.4,36,7.6,620000,2012,40,7,1160000
Disney Universe,PS3,Action,Disney Interactive Studios,31,6.6,25,6.2,620000,2011,15,4,2250000
Viewtiful Joe,GC,Action,Capcom,52,9.3,124,7.7,620000,2003,11,2,900000
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,Adventure,Capcom,45,8.1,251,9.0,620000,2007,11,1,620000
LEGO The Hobbit,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,47,7.2,155,6.7,620000,2014,14,7,2460000
Ghostbusters: The Video Game,X360,Action,Atari,74,7.8,109,7.8,620000,2009,16,6,3340000
Prince of Persia: The Forgotten Sands,X360,Action,Ubisoft,69,7.4,138,7.4,620000,2010,4,6,2100000
Harry Potter and the Half-Blood Prince,DS,Action,Electronic Arts,38,6.4,36,4.5,620000,2009,2,7,3220000
Metal Gear Solid 2: Substance,XB,Action,Konami,28,8.7,53,8.2,620000,2002,8,3,1140000
Spider-Man: Mysterio's Menace,GBA,Action,Activision,8,8.4,23,7.7,610000,2001,1,1,610000
Samurai Warriors 2,PS2,Action,KOEI,30,5.2,19,8.6,610000,2006,42,3,720000
Harry Potter and the Goblet of Fire,GBA,Adventure,Electronic Arts,29,6.8,67,5.3,610000,2005,2,7,2340000
James Cameron's Avatar: The Game,PSP,Action,Ubisoft,62,6.1,59,6.2,610000,2009,4,6,3440000
Dragon Ball Z: Buu's Fury,GBA,Action,Atari,19,6.2,55,8.2,610000,2004,16,1,610000
Gravity Rush,PSV,Action-Adventure,Sony Computer Entertainment,73,8.3,775,8.6,600000,2012,6,1,600000
L.A. Noire,PS4,Adventure,Rockstar Games,83,8.9,1207,8.0,600000,2017,7,5,7240000
The Golden Compass,DS,Adventure,Sega,25,4.1,8,5.4,600000,2007,9,7,2840000
The Golden Compass,Wii,Adventure,Sega,25,4.1,8,5.4,600000,2007,9,7,2840000
Jaws Unleashed,PS2,Action,Majesco,29,5.1,7,6.1,600000,2006,26,2,750000
Transformers: The Game,X360,Action,Activision,50,5.2,40,5.8,600000,2007,1,5,3340000
Assassin's Creed: Brotherhood,PC,Action,Ubisoft,81,8.9,1541,8.4,590000,2011,4,3,6970000
Naruto: The Broken Bond,X360,Action,Ubisoft,34,8.0,51,8.1,590000,2008,4,1,590000
Transformers: War for Cybertron,X360,Action,Activision,69,7.6,126,7.9,590000,2010,1,3,1090000
Alice: Madness Returns,PS3,Adventure,Electronic Arts,67,7.0,309,8.1,590000,2011,2,3,1210000
Silent Hill: Shattered Memories,PS2,Adventure,Konami,56,7.9,252,7.6,590000,2010,8,3,1370000
Hidden Agenda,PS4,Adventure,Sony Interactive Entertainment,47,6.6,159,6.6,590000,2017,53,1,590000
Metal Gear Solid V: Ground Zeroes,PS3,Action-Adventure,Konami Digital Entertainment,70,7.5,1631,6.5,590000,2014,33,4,2200000
Prince of Persia: The Two Thrones,XB,Adventure,Ubisoft,46,8.5,109,8.0,580000,2005,4,4,1410000
Lost: Via Domus,X360,Action,Ubisoft,50,5.5,41,5.4,580000,2008,4,3,1100000
Phineas and Ferb: Across the 2nd Dimension,Wii,Action,Disney Interactive Studios,13,6.3,23,7.1,580000,2011,15,3,1440000
TMNT,X360,Action,Ubisoft,31,5.8,30,6.2,580000,2007,4,4,1090000
Tom Clancy's HAWX,X360,Action,Ubisoft,64,7.3,24,7.3,580000,2009,4,3,1180000
Skylanders: Spyro's Adventure,3DS,Action,Activision,35,7.8,98,6.4,580000,2011,1,5,5380000
Transformers: The Game,Wii,Action,Activision,50,5.2,40,5.8,580000,2007,1,5,3340000
Tomb Raider: Anniversary,PSP,Action,Eidos Interactive,33,7.7,95,8.0,570000,2007,21,5,2340000
LEGO Marvel Super Heroes 2,XOne,Action,Warner Bros. Interactive Entertainment,63,7.3,171,6.9,570000,2017,14,3,2350000
Disney Universe,X360,Action,Disney Interactive Studios,31,6.6,25,6.2,570000,2011,15,4,2250000
Resident Evil: Revelations 2,PS4,Action,Capcom,30,7.5,674,7.6,570000,2015,11,5,1240000
Spyro Orange: The Cortex Conspiracy,GBA,Action,Vivendi Games,25,6.0,21,5.2,570000,2004,54,1,570000
Dynasty Warriors 5: Xtreme Legends,PS2,Action,KOEI,22,5.7,13,5.8,570000,2005,42,1,570000
Resident Evil Outbreak File #2,PS2,Action,Capcom,35,5.8,117,8.1,570000,2005,11,1,570000
LEGO Jurassic World,WiiU,Action,Warner Bros. Interactive Entertainment,46,7.0,201,7.2,570000,2015,14,7,5680000
Starlink: Battle for Atlas,NS,Action-Adventure,Ubisoft,69,7.4,248,7.7,570000,2018,4,3,770000
True Crime: Streets of LA,GC,Action,Activision,39,7.7,23,7.5,560000,2003,1,4,5210000
Tom Clancy's HAWX,PS3,Action,Ubisoft,64,7.3,24,7.3,560000,2009,4,3,1180000
Batman Begins,PS2,Action,Electronic Arts,56,6.5,29,7.7,560000,2005,2,4,1090000
Enslaved: Odyssey to the West,PS3,Action,Namco Bandai,72,8.2,384,7.8,560000,2010,27,2,1100000
No More Heroes,Wii,Action,Ubisoft,64,8.3,228,8.4,560000,2008,4,1,560000
Manhunt 2,PS2,Action,Rockstar Games,38,6.2,60,7.4,560000,2007,7,3,1410000
Just Cause 4,PS4,Action-Adventure,Square Enix,49,6.8,510,4.7,560000,2018,18,2,850000
Metroid: Samus Returns,3DS,Action-Adventure,Nintendo,87,8.5,677,8.7,560000,2017,10,1,560000
Soul Reaver 2,PS2,Adventure,Eidos Interactive,22,8.0,74,8.5,550000,2001,21,1,550000
Metal Gear Solid 3: Subsistence,PS2,Action,Konami,53,9.4,870,8.5,550000,2006,8,1,550000
Batman: Vengeance,PS2,Adventure,Ubisoft,19,6.8,18,6.9,550000,2001,4,3,990000
Assassin's Creed II,PC,Action,Ubisoft,82,9.0,2668,8.8,540000,2010,4,3,11410000
Phineas and Ferb: Across the 2nd Dimension,DS,Action,Disney Interactive Studios,13,6.3,23,7.1,540000,2011,15,3,1440000
Hotel Dusk: Room 215,DS,Adventure,Nintendo,57,7.8,106,8.5,540000,2007,10,1,540000
Manhunt 2,Wii,Action,Rockstar Games,38,6.2,60,7.4,540000,2007,7,3,1410000
The Incredible Hulk: Ultimate Destruction,PS2,Action,VU Games,47,8.4,21,7.6,540000,2005,37,3,920000
Dynasty Warriors: Gundam 3,PS3,Action,Tecmo Koei,27,6.5,25,7.6,540000,2011,40,2,720000
Enslaved: Odyssey to the West,X360,Action,Namco Bandai,72,8.2,384,7.8,540000,2010,27,2,1100000
LEGO The Incredibles,PS4,Action,Warner Bros. Interactive Entertainment,35,6.9,77,5.7,530000,2018,14,3,1480000
Burnout Revenge,XB,Action,Electronic Arts,65,8.9,68,8.9,530000,2005,2,1,530000
The Lord of the Rings: The Fellowship of the Ring,XB,Action,Black Label Games,23,5.9,22,6.0,530000,2002,161,2,1730000
Legacy of Kain: Defiance,PS2,Adventure,Eidos Interactive,34,7.5,85,8.7,530000,2003,21,3,730000
Phoenix Wright: Ace Attorney - Justice for All,DS,Adventure,Capcom,51,7.6,206,8.5,530000,2007,11,1,530000
Harry Potter and the Half-Blood Prince,PSP,Action,Electronic Arts,38,6.4,36,4.5,530000,2009,2,7,3220000
The Lord of the Rings: The Two Towers,GC,Action,Electronic Arts,32,8.2,133,7.9,530000,2002,2,4,6650000
The Warriors,PS2,Action,Rockstar Games,55,8.5,47,7.9,530000,2005,7,3,1090000
Peter Jackson's King Kong: The Official Game of the Movie,XB,Action,Ubisoft,57,8.0,94,7.8,530000,2005,4,6,3390000
Alien: Isolation,XOne,Adventure,Sega,50,7.9,1696,8.3,520000,2014,9,5,2370000
Harry Potter and the Prisoner of Azkaban,GBA,Adventure,Electronic Arts,29,7.0,80,7.9,520000,2004,2,5,2150000
Metal Gear Solid 2: Substance,PS2,Action,Konami,28,8.7,53,8.2,520000,2003,8,3,1140000
The Golden Compass,PS2,Adventure,Sega,25,4.1,8,5.4,520000,2007,9,7,2840000
Metal Gear Solid HD Collection,PS3,Action,Konami,50,8.9,558,9.0,520000,2011,8,6,3180000
Silent Hill: Origins,PSP,Action,Konami,40,7.8,254,7.3,520000,2007,8,2,590000
Tomb Raider: Legend,PS2,Action,Eidos Interactive,54,8.0,150,7.9,520000,2006,21,7,1650000
Way of the Samurai 3,PS3,Action,Agetec,22,5.5,20,7.0,520000,2009,66,2,730000
Lair,PS3,Action,Sony Computer Entertainment,55,5.3,61,6.6,510000,2007,6,1,510000
Hitman 2,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,74,8.2,972,8.4,510000,2018,14,2,730000
Prince of Persia Trilogy,PS3,Action,Ubisoft,21,8.1,85,8.0,510000,2011,4,1,510000
The Saboteur,X360,Action,Electronic Arts,69,7.3,135,7.8,510000,2009,2,3,1050000
Fire Emblem Warriors,NS,Action,Nintendo,74,7.4,439,7.7,510000,2017,10,2,660000
Way of the Samurai,PS2,Action,BAM! Entertainment,22,7.4,28,7.9,510000,2002,78,1,510000
Silent Hill 4: The Room,PS2,Adventure,Konami,54,7.6,496,8.0,510000,2004,8,2,690000
Attack on Titan,PS4,Action,Tecmo Koei,58,7.4,147,7.0,500000,2017,40,4,870000
Lost: Via Domus,PS3,Action,Ubisoft,50,5.5,41,5.4,500000,2008,4,3,1100000
Steel Diver,3DS,Action,Nintendo,55,5.8,36,6.1,500000,2011,10,1,500000
Fantastic 4,PS2,Action,Activision,46,6.2,7,3.9,500000,2005,1,3,1010000
Bully: Scholarship Edition,Wii,Action,Rockstar Games,56,8.0,321,8.4,500000,2008,7,3,1620000
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,GBA,Adventure,THQ,8,6.5,6,8.8,500000,2004,5,3,1280000
Avatar: The Last Airbender,GC,Adventure,THQ,15,5.6,15,6.0,500000,2006,5,4,1220000
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,PS2,Adventure,THQ,8,6.5,6,8.8,500000,2004,5,3,1280000
Alice: Madness Returns,X360,Adventure,Electronic Arts,67,7.0,309,8.1,500000,2011,2,3,1210000
The Mummy Returns,PS2,Action,Universal Interactive,13,4.4,8,5.1,500000,2001,62,1,500000
Transformers: War for Cybertron,PS3,Action,Activision,69,7.6,126,7.9,500000,2010,1,3,1090000
Hitman: Blood Money,PS2,Action,Eidos Interactive,53,8.2,221,8.5,500000,2006,21,4,1060000
Super Monkey Ball 3D,3DS,Action,Sega,57,5.5,46,5.5,500000,2011,9,1,500000
Spider-Man 2,DS,Action,Activision,60,8.3,95,7.8,500000,2004,1,5,6570000
Tomb Raider: Anniversary,PS2,Action,Eidos Interactive,33,7.7,95,8.0,500000,2007,21,5,2340000
Metal Gear Rising: Revengeance,X360,Action,Konami Digital Entertainment,61,8.0,1206,8.3,500000,2013,33,2,2000000
Ace Combat: Assault Horizon,X360,Action,Namco Bandai,71,7.8,98,6.1,490000,2011,27,2,1230000
The Matrix: Path of Neo,PS2,Action,Atari,42,6.9,66,7.6,490000,2005,16,3,800000
Dynasty Warriors: Gundam 2,PS3,Action,Namco Bandai,30,4.9,14,5.7,490000,2009,27,3,1020000
Watch Dogs,PC,Action-Adventure,Ubisoft,80,8.0,4140,6.7,490000,2014,4,6,9700000
Alone in the Dark,X360,Adventure,Atari,77,6.3,320,7.4,490000,2008,16,2,550000
Lollipop Chainsaw,X360,Action,Warner Bros. Interactive Entertainment,64,7.0,332,7.1,480000,2012,14,2,1150000
The Saboteur,PS3,Action,Electronic Arts,69,7.3,135,7.8,480000,2009,2,3,1050000
Crash of the Titans,DS,Action,Sierra Entertainment,25,6.5,102,7.0,480000,2007,56,5,2300000
Friday the 13th: The Game,PS4,Action,Gun Media,26,6.1,293,6.3,480000,2017,218,2,750000
Thief,XOne,Action,Square Enix,48,6.7,862,6.1,480000,2014,18,4,1980000
Destroy All Humans! 2,PS2,Adventure,THQ,39,7.4,70,8.3,480000,2006,5,1,480000
The Walking Dead: A Telltale Games Series,PS4,Adventure,Telltale Games,14,8.9,4022,8.8,480000,2014,83,4,2210000
A Way Out,PS4,Action,Electronic Arts,66,7.8,1423,7.9,480000,2018,2,2,720000
Batman: Arkham Origins Blackgate,PSV,Action-Adventure,Warner Bros. Interactive Entertainment,38,6.1,154,6.7,480000,2013,14,2,750000
LEGO Marvel's Avengers,XOne,Action,Warner Bros. Interactive Entertainment,70,7.1,242,7.3,480000,2016,14,7,3120000
Silent Hill: Shattered Memories,Wii,Adventure,Konami,56,7.9,252,7.6,470000,2009,8,3,1370000
Deadpool,PS3,Action,Activision,49,6.2,477,7.4,470000,2013,1,4,1600000
LEGO The Hobbit,PS3,Action-Adventure,Warner Bros. Interactive Entertainment,47,7.2,155,6.7,470000,2014,14,7,2460000
FlingSmash,Wii,Action,Nintendo,26,4.8,27,7.2,470000,2010,10,1,470000
Deadpool,PS4,Action,Activision,49,6.2,477,7.4,470000,2015,1,4,1600000
Spider-Man: Friend or Foe,DS,Action,Activision,51,6.0,41,6.6,470000,2007,1,6,1460000
Detective Pikachu,3DS,Adventure,Nintendo,64,7.1,139,7.3,470000,2018,10,1,470000
Luigi's Mansion,3DS,Adventure,Nintendo,43,7.4,179,8.1,470000,2018,10,1,470000
ICO,PS2,Adventure,Sony Computer Entertainment,59,9.0,536,8.6,470000,2001,6,2,530000
Silent Hill: Downpour,PS3,Adventure,Konami,41,6.4,394,6.8,470000,2012,8,2,790000
Pirates of the Caribbean: Dead Man's Chest,GBA,Adventure,Buena Vista,34,5.2,8,6.9,470000,2006,61,3,1010000
Rygar: The Legendary Adventure,PS2,Action,Tecmo,30,8.3,24,7.9,460000,2002,71,1,460000
The Mark of Kri,PS2,Action,Sony Computer Entertainment,37,8.0,32,7.0,460000,2002,6,1,460000
Harry Potter and the Order of the Phoenix,Wii,Adventure,Electronic Arts,38,6.8,41,5.3,460000,2007,2,7,2520000
Destroy All Humans!,XB,Adventure,THQ,40,7.0,195,7.7,460000,2005,5,2,1400000
The Golden Compass,X360,Adventure,Sega,25,4.1,8,5.4,460000,2007,9,7,2840000
State of Decay 2,XOne,Action-Adventure,Microsoft Studios,78,6.6,1004,5.8,460000,2018,28,1,460000
Tomb Raider: Legend,PSP,Action,Eidos Interactive,54,8.0,150,7.9,460000,2006,21,7,1650000
LEGO DC Super-Villains,PS4,Action-Adventure,Warner Bros. Interactive Entertainment,43,7.4,155,7.3,460000,2018,14,3,1200000
LEGO The Hobbit,X360,Action-Adventure,Warner Bros. Interactive Entertainment,47,7.2,155,6.7,460000,2014,14,7,2460000
Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,65,7.8,253,7.9,460000,2018,10,1,460000
Enter the Matrix,GC,Action,Atari,33,6.5,20,8.0,450000,2003,16,4,4830000
L.A. Noire,NS,Adventure,Rockstar Games,83,8.9,1207,8.0,450000,2017,7,5,7240000
Yakuza Kiwami,PS4,Adventure,Sega,73,8.0,848,8.0,450000,2017,9,2,580000
Sphinx and the Cursed Mummy,PS2,Adventure,THQ,28,7.8,28,7.1,450000,2003,5,3,710000
Scooby-Doo! Mystery Mayhem,PS2,Adventure,THQ,17,5.5,17,7.5,450000,2004,5,4,1260000
